Year-Month,Areal Average Precipitation [cm/day],Total Precipitation Volume [cm/day],Outlet Precipitation  [cm/day],Areal Average Temperature [deg C],Outlet Temperature [deg C],Average Areal Runoff [cm/day],Total Runoff Volume [cm/day],Outlet Runoff [cm/day],Shallow GroundWater Discharge [cm/day],Snow Fall [cm/day],Snow Melt [cm/day],Areal Precipitation + Snow Melt [cm/day],Average Catchment Saturated Storage [cm],Total Areal Saturated storage Volume [cm],Outlet Catchment Saturated storage [cm],Average Areal Evapotranspiration [cm/day],Evapotranspiration [cm/day],Outlet Evapotranspiration [cm/day],Daylight hours [hours],Percolation [cm/day ?],Average Catchment Unsaturated Storage [cm],Total Areal Unsaturated Storage [cm],Outlet Catchment Unsaturated Storage [cm],Modeled Inflow [m3/day],Modeled Outflow [m3/day],Average Deep seepage [cm],Deep seepage [cm],Outlet Deep seepage [cm],Generated Flow [m3/day],Modeled Outflow [m3/s],Observed Flow [m3/s],Daily Demand [m3/day],Actual Daily Demand [m3/day],Reservoir Inflow [m3/s],Reservoir Outflow [m3/s],Reservoir Volume [m3],Generated SedLoad [tonne/day],Routed SedLoad [tonne/day],Sediment Concentration [??],MODFLOW GW Flow [m3/day],Basin Water Balance [% Volume Error]
2009-Mar,0.18168390093289247,130.72901576115436,0.17622794315904644,26.557918600509478,26.64724339637393,3.019793084267658E-8,2.1728649356470348E-5,0.0,25.105074764536926,0.0,0.0,130.72901576115436,4.944503291869197,3557.7728431348537,5.442333321473092,0.3292934964733376,236.9401717459219,0.32754278798984376,12.049476620434053,0.0,3.157590797652808,2272.016040133899,3.244477702499735,222488.5174340938,251050.96493186287,0.00494945274461381,3.561334177312166,0.005447781102575666,251050.96493186287,2.905682464489152,3.726958067451614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18744948050947194
2009-Apr,0.6208802033219193,446.74876237845723,0.6656260143119413,26.44437404717628,26.51723406436319,0.018205201132389104,13.09938862800039,0.03101067642624458,19.651240487075533,0.0,0.0,446.74876237845723,3.8703578535011185,2784.8811602660476,4.260039132094774,0.2241894292943009,161.3134861438506,0.22673299584512402,11.801830967325646,0.0,3.5579255134435184,2560.0732818686624,3.65822555694821,282084.5680700897,327506.2911507592,0.0038742320855867053,2.7876688290951437,0.004264303435530306,327506.2911507592,3.7905820735041575,5.019700046233333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3473005406091321
2009-May,0.750175765289126,539.7822203319032,0.7662425565341373,25.292570276609208,25.412861207010298,0.034794083429843456,25.035769585192988,0.052168733555365124,18.123740350552414,0.0,0.0,539.7822203319032,3.7651233417034615,2709.1606144126504,4.2138757458899825,0.3054026626672545,219.74973729825902,0.3076256201072347,11.596955491163309,0.1956102187680566,12.978801025614048,9338.77946877136,13.9859924781663,371836.72013026814,431595.09935745405,0.003573086209144549,2.570982024014078,0.003997345202375104,431595.09935745405,4.995313649970533,14.308874253580644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3812180140865978
2009-Jun,0.6215750816827857,447.24875584911337,0.6695475766577809,24.01694084530502,24.147580498631022,0.01699273631180182,12.226970478530193,0.031412154650496946,65.64908835832114,0.0,0.0,447.24875584911337,13.264900141247713,9544.639512533518,14.563361295245112,0.2791808976972196,200.8821023099551,0.28144061824079647,11.496333642849844,0.3351583842361293,17.772207753814023,12787.832139387097,17.781983196873295,680883.9922814833,778760.5883685134,0.012942684441453033,9.312792105687558,0.014212189084900444,778760.5883685134,9.013432735746683,17.941810035766668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22122130996929884
2009-Jul,0.6022854279558697,433.36905911679435,0.633053663111944,23.53491090421596,23.65994398989119,0.021793580044912646,15.681374379096495,0.039995464372763925,95.3044675791897,0.0,0.0,433.36905911679435,19.108213814433086,13749.143276250994,20.779922528278334,0.27381359632575314,197.02010891382872,0.27593367259336243,11.543543622556387,0.33777564227507184,17.773426161435786,12788.708833625671,17.777579370279472,972882.39580756,1109858.419582862,0.01878922739955757,13.519619472305056,0.020452108786174792,1109858.419582862,12.84558355998683,19.046000234064515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15543727011021513
2009-Aug,0.5440379816520198,391.4576333558759,0.5785748488402191,23.4990883466911,23.623318693610152,0.010303817185069102,7.414018921161809,0.019130525734654315,106.19778380594602,0.0,0.0,391.4576333558759,21.16334157495807,15227.891960186904,22.80154711396465,0.2817666898894712,202.74268580976,0.28385732699827915,11.720018171371198,0.24743925072139053,17.416682437563097,12532.017097806594,17.452187716051654,1003647.370500161,1136118.0272710784,0.020936839163400077,15.064914188472065,0.022552630388087046,1136118.0272710782,13.14951420452637,24.999819292580643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08343962419172223
2009-Sep,0.10015838259078721,72.06806276775761,0.11108123588754962,24.854723756933662,24.940311575930362,0.0,0.0,0.0,106.81844554721836,0.0,0.0,72.06806276775761,21.038143108286977,15137.806530279917,22.688844627805164,0.31679140253428956,227.94440257092526,0.3183257145574385,11.95873281223881,0.0,13.908323183904978,10007.608772070178,14.105275247271816,949108.88711076,1068184.4554721836,0.021059202310597578,15.152959489769689,0.022711556183989155,1068184.4554721836,12.36324601240953,8.133666674300002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38614581356747657
2009-Oct,0.01131838028453119,8.144038668311858,0.012336078412683726,26.094749483831183,26.14069790268433,0.0,0.0,0.0,83.64052348645694,0.0,0.0,8.144038668311858,16.473197056423015,11853.14068317567,17.765722317440414,0.3460488938192079,248.99636710756673,0.35448895090466026,12.205767895979593,0.0,4.991703855568231,3591.7355839394213,5.286457602130024,743167.1913677251,836405.2348645695,0.016489686743166178,11.865005688864532,0.017783505823263674,836405.2348645695,9.68061614426585,3.262258075967741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46746169796380793
2009-Nov,0.059246790054184546,42.630494562378,0.06530879757748011,26.519175994825577,26.576687418620896,0.0,0.0,0.0,65.47043005898708,0.0,0.0,42.630494562378,12.894554586391202,9278.160701646515,13.906291256291592,0.059513830500912274,42.82264111245692,0.06789228060375124,12.408634644234434,0.0,0.014162847183368245,10.19074922516797,0.014131547318615729,581721.3187630608,654704.3005898704,0.012907462048439641,9.28744814979631,0.013920211467759354,654704.3005898704,7.57759607164202,2.7924300034666656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10416366094338235
2009-Dec,0.15827512030286636,113.88543833784479,0.1661610063155683,27.009270871983354,27.082591339780535,0.0,0.0,0.0,51.26437681211647,0.0,0.0,113.88543833784479,10.096639117011941,7264.945806893888,10.888844847655218,0.15827512030286636,113.88543833784477,0.16616100631556832,12.504114788698477,0.0,0.2816751845147137,202.6768439409016,0.3341215316896532,455496.9450764633,512643.7681211647,0.01010674586287481,7.272218024918805,0.010899744592247466,512643.7681211647,5.933376945846812,3.582103229612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08135268850146866
